SIGLA	DISCIPLINA	RECOMENDAÇÃO
ESZR007-21	A questão nuclear nas Relações Internacionais	Não há
NHBB003-23	Ações extensionistas em Biodiversidade e Evolução	Evolução e Diversificação da Vida na Terra; Biodiversidade: Interações entre organismos e ambiente; Evolução
NHBB004-23	Ações extensionistas em Biomoléculas e suas funções	Evolução e Diversificação da Vida na Terra; Bioquímica: estrutura, propriedade e funções de biomoléculas; Genética II; Biologia Celular; Bioquímica Funcional
NHBB005-23	Ações extensionistas em Botânica	Evolução e Diversificação da Vida na Terra; Biodiversidade: Interações entre organismos e ambiente; Evolução e Diversidade de Plantas I; Evolução e Diversidade de Plantas II
NHBB006-23	Ações extensionistas em Fisiologia e Saúde	Histologia e Embriologia; Biologia celular; Morfofisiologia Humana I; Morfofisiologia Humana II; Morfofisiologia Humana III
NHBB007-23	Ações Extensionistas em Microbiologia, Ambiente e Saúde	Evolução e Diversificação da Vida na Terra; Biologia Celular; Microbiologia
NHBB008-23	Ações extensionistas em Zoologia	Evolução e Diversificação da Vida na Terra; Biodiversidade: Interações entre organismos e ambiente; Zoologia de Invertebrados I; Zoologia de Invertebrados II; Zoologia de Vertebrados; Ecologia Comportamental
ESZM035-17	Aditivação de Polímeros	Síntese de Polímeros; Materiais Poliméricos
ESZP041-14	Administração Pública e Reforma do Estado em Perspectiva Comparada	Não há
ESTS016-17	Aerodinâmica I	Dinâmica de Gases
ESZS019-17	Aerodinâmica II	Aerodinâmica I
ESTS012-17	Aeroelasticidade	Aerodinâmica I; Vibrações; Mecânica dos Sólidos I; Métodos Computacionais para Análise Estrutural
ESTS002-17	Aeronáutica I-A	Não há
ESZS001-17	Aeronáutica I-B	Aeronáutica I-A
ESZS002-17	Aeronáutica II	Aeronáutica I-A
ESHR027-21	África nas Relações Internacionais	Formação do Sistema Internacional
LHZ0001-19	Afro-Brasileira: Relações Étnico-Raciais	Não há
MCBM013-23	Álgebra Comutativa	Teoria de Anéis; Teoria de Grupos
MCTB001-17	Álgebra Linear	Geometria Analítica
MCBM001-23	Álgebra Linear Avançada	Álgebra Linear; Matemática Discreta
MCTD022-18	Álgebra na Educação Básica	Teoria Aritmética dos Números; Geometria Plana Axiomática; Fundamentos de Álgebra
MCCC001-23	Algoritmos e Estruturas de Dados I	Programação Estruturada; Processamento da Informação
MCCC002-23	Algoritmos e Estruturas de Dados II	Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
MCCC003-23	Algoritmos em Grafos	Natureza da Informação; Funções de Uma Variável; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II; Programação Estruturada; Matemática Discreta I; Matemática Discreta II
MCZA035-17	Algoritmos Probabilísticos	Algoritmos e Estruturas de Dados II; Introdução à Probabilidade e à Estatística
ESZR003-21	América Latina Contemporânea	Não há
LHZ0002-19	América Portuguesa	Não há
MCZB001-13	Análise Complexa	Variáveis Complexas e Aplicações
ESZT001-17	Análise da Produção do Espaço e Políticas Públicas Urbanas	Não há
MCCC004-23	Análise de Algoritmos I	Matemática Discreta II; Matemática Discreta I; Algoritmos em Grafos; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II; Programação Estruturada; Processamento da Informação; Funções de Uma Variável
MCCC005-23	Análise de Algoritmos II	Análise de Algoritmos I; Algoritmos em Grafos; Matemática Discreta I; Matemática Discreta II; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II; Programação Estruturada; Processamento da Informação; Funções de Uma Variável
BHS0001-23	Análise de conjuntura internacional	Não há
ESHT011-21	Análise de Dados para o Planejamento Territorial	Cartografia e Geoprocessamento para o planejamento territorial; Introdução a Probabilidade e Estatistica
NHT3067-15	Análise de Fourier e Aplicações	Funções de Várias Variáveis; Variáveis Complexas e Aplicações
ESHR029-21	Análise de Política Externa	Não há
MCZA001-13	Análise de Projetos	Não há
ESZG001-17	Análise de Redes de Transporte e Distribuição	Pesquisa Operacional
MCZB002-13	Análise de Regressão	Álgebra Linear; Cálculo de Probabilidade; Introdução à Inferência Estatística
ESZC001-21	Análise de Séries Temporais - Tópicos Especiais	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I; Econometria II; Econometria III
ESTA005-17	Análise de Sistemas Dinâmicos Lineares	Modelagem e Controle
ESTU024-17	Análise de Sistemas e Modelagem Ambiental	Recomendada para o final do curso
ESZU027-17	Análise e Concepção Estrutural para a Engenharia	Recomendada para o final do curso
ESTB029-17	Análise e Controle de Sistemas Mecânicos	Modelagem de Sistemas Dinâmicos I; Modelagem de Sistemas Dinâmicos II
ESZC018-17	Análise Econômica de Projetos	Bases Matemáticas; Introdução à Probabilidade e Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de uma Variável; Funções de Várias Variáveis; Finanças Corporativas; Microeconomia I; Macroeconomia I
ESTE037-17	Análise Econômica de Projetos Energéticos	Engenharia Econômica
ESZE075-17	Análise Estática em Sistemas Elétricos de Potência	Introdução aos Sistemas Elétricos de Potência
ESZS016-17	Análise Experimental de Estruturas	Mecânica dos Sólidos I
MCBM014-23	Análise Multivariada	Álgebra Linear; Cálculo de Probabilidade; Introdução à Inferência Estatística
MCTD024-18	Análise na Educação Básica	Funções de uma variável
MCTB004-17	Análise no Rn I	Álgebra Linear; Análise Real I
MCZB004-17	Análise no Rn II	Álgebra Linear Avançada; Análise Real II; Análise no Rn I
MCBM002-23	Análise Real I	Introdução às Equações Diferenciais Ordinárias; Números Reais e Sequências
MCTB006-13	Análise Real II	Análise Real I
ESZP045-13	Análise Social da Família e Implementação de Políticas Públicas	Não há
LHZ0003-19	Antiguidade	Não há
NHZ2001-11	Antropologia Filosófica	Não há
ESZS012-17	Aplicações de Elementos Finitos para Engenharia	Introdução às Equações Diferenciais Ordinárias; Cálculo Numérico
ESZI025-17	Aplicações de Microcontroladores	Sistemas Microprocessados; Circuitos Elétricos I
ESZI037-17	Aplicações em Voz, Áudio e Acústica	Codificação de Sinais Multimídia; Processamento Digital de Sinais
MCZA002-17	Aprendizado de Máquina	Funções de Várias Variáveis; Introdução à Probabilidade e à Estatística; Álgebra Linear; Algoritmos; Estruturas de Dados I; Programação Estruturada; Processamento da Informação; Matemática Discreta
ESZE102-17	Aproveitamento Energético de Resíduos	Engenharia de Biocombustíveis
MCBM003-23	Aproximação Teórica e Numérica I	Álgebra Linear; Análise Real II; Processamento da Informação
MCBM015-23	Aproximação Teórica e Numérica II	Análise Real II; Processamento da Informação
BHS0002-23	Arenas e Problemas Públicos	Não há
NHZ2091-16	Argumentação e Ensino	Não se aplica
ESZE097-17	Armazenamento de Energia Elétrica	Bases Conceituais da Energia
MCTA004-17	Arquitetura de Computadores	Sistemas Digitais; Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos; Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
MCZA003-17	Arquitetura de Computadores de Alto Desempenho	Arquitetura de Computadores
ESHT001-17	Arranjos Institucionais e Marco Regulatório do Território	Não há
NHZ2092-16	Arte e ensino	Não há
NHLF001-22	Arte no ensino de Ciências Humanas	Não há
ESZP011-13	Arte, Ciência, Tecnologia e Política	Não há
ESZR023-21	As categorias de Karl Marx e a análise do Capitalismo Contemporâneo	Economia Política Internacional
LHZ0004-19	Ásia: Cultura e Processos Sócio-Políticos	Não há
NHZ1074-15	Astrobiologia	Evolução e Diversificação da Vida na Terra; Bioquímica: estrutura, propriedade e funções de biomoléculas
MCZC010-15	Atenção e Estados de Consciência	Não há
BHS0004-17	Atividades da Teoria	Introdução às Humanidades e às Ciências Sociais; Práticas em Ciências e Humanidades
ESZP035-14	Atores e Instituições no Regime Militar: 1964-1985	Não há
ESHR018-21	Atores Não Estatais e as Relações Internacionais	Não há
ESZE010-17	Automação de Sistemas Elétricos de Potência	Introdução aos Sistemas Elétricos de Potência
ESTA011-17	Automação de Sistemas Industriais	Sistemas de Controle II
ESZG028-17	Automação em Sistemas de Manufatura	Sistemas CAD/CAE; Sistemas CAM
MCZA004-13	Avaliação de Desempenho de Redes	Redes de Computadores
ESTU025-17	Avaliação de Impactos Ambientais	Regulação Ambiental e Urbanística; Cartografia e Geoprocessamento; Saúde Ambiental; Biomas Brasileiros
ESHP031-22	Avaliação e Monitoramento de Políticas Públicas	Métodos Quantitativos em Políticas Públicas
NHT4072-15	Avaliação no Ensino de Química	Práticas de Ensino de Química III
ESZS004-17	Aviônica	Circuitos Elétricos e Fotônica
MCZA005-17	Banco de Dados de Apoio à Tomada de Decisão	Banco de Dados; Inteligência Artificial
BCS0001-15	Base Experimental das Ciências Naturais	Não há
ESTB002-17	Bases Biológicas para Engenharia I	Biologia Celular
ESTB004-17	Bases Biológicas para Engenharia II	Bases Biológicas para Engenharia I
BIS0005-15	Bases Computacionais da Ciência	Não há
BIJ0207-15	Bases Conceituais da Energia	Não há
BIR0004-15	Bases Epistemológicas da Ciência Moderna	Não há
BIS0003-15	Bases Matemáticas	Não há
MCZC002-15	Bases Neurais da Motricidade	Introdução à Neurociência ou Morfofisiologia Humana I; Neuroanatomia
NHZ4060-15	Biocombustíveis e Biorrefinarias	É recomendado que o aluno tenha sido aprovado na disciplina de Transformações Químicas.
ESHT026-21	Biodiversidade, Geodiversidade e Paisagem	Não há
BCL0306-15	Biodiversidade: Interações entre organismos e ambiente	Não há
ESTB019-17	Bioestatística	Computação Científica Aplicada a Problemas Biológicos
NHT1002-15	Bioética	Não há
NHZ1003-15	Biofísica	Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas; Biologia Molecular e Biotecnologia
MCNC001-23	Biofísica de Membranas	Introdução à Neurociência; ou Morfofisiologia Humana I
ESZB032-17	Bioimpedância Aplicada	Fenômenos Eletromagnéticos; Circuitos Elétricos I; Métodos Matemáticos Aplicados a Sistemas Biomédicos
NHT1053-15	Biologia Celular	Evolução e Diversificação da Vida na Terra
NHZ1008-15	Biologia do Desenvolvimento em Vertebrados	Biologia Celular
NHZ1009-15	Biologia Molecular e Biotecnologia	Biologia Celular; Histologia e Embriologia
NHZ1076-15	Biologia Reprodutiva de Plantas	Evolução e Diversidade de Plantas I; Evolução e Diversidade de Plantas II; Fisiologia Vegetal I; Fisiologia Vegetal II
NHBT001-23	Biologia Sintética	Genética II; Bioquímica: estrutura, propriedade e funções de biomoléculas
ESTU023-17	Biomas Brasileiros	Biodiversidade: Interações entre Organismos e Ambiente
ESZM032-17	Biomateriais	Ciência dos Materiais
ESTB007-17	Biomecânica I	Mecânica dos Sólidos I; Computação Científica aplicada a Problemas Biológicos
ESTB027-17	Biomecânica II	Biomecânica I
NHZ1077-15	Bioquímica Clínica	Bioquímica Funcional
NHBB009-23	Bioquímica do Sistema Nervoso Central	Bioquímica: estrutura, propriedade e funções de biomoléculas; Bioquímica Funcional
NHT1013-15	Bioquímica Funcional	Transformações Químicas; Bioquímica: estrutura, propriedade e funções de biomoléculas; Biologia Celular
BCL0308-15	Bioquímica: estrutura, propriedade e funções de biomoléculas	Estrutura da Matéria; Transformações Químicas
ESTB013-17	Biossegurança	Biologia Celular
NHZ6015-18	Biotecnologia Ambiental e Agroindustrial	Biologia Molecular e Biotecnologia; Bioquímica: estrutura, propriedade e funções de biomoléculas
NHZ6013-18	Biotecnologia Animal	Biologia Molecular e Biotecnologia; Biologia celular
NHZ6011-18	Biotecnologia Humana	Biologia Molecular e Biotecnologia; Biologia celular; Imunologia
NHBT002-23	Biotecnologia Vegetal	Genética I; Genética II; Fisiologia Vegetal I; Fisiologia Vegetal II
ESZM036-17	Blendas Poliméricas	Materiais Poliméricos
ESZE089-17	Bombas Hidráulicas	Mecânica dos Fluidos II
NHZ1014-15	Botânica Econômica	Biodiversidade: Interações entre organismos e ambiente; Evolução e Diversidade de Plantas I
LHZ0005-19	Brasil Independente	Não há
NHZ6016-18	Bromatologia e Análise de Alimentos	Transformações Bioquímicas
ESHP009-22	Burocracia e Implementação de Políticas Públicas	Não há
MCTB008-17	Cálculo de Probabilidade	Funções de Várias Variáveis; Introdução à Probabilidade e à Estatística;Matemática Discreta
MCTB009-17	Cálculo Numérico	Funções de Uma Variável; Processamento da Informação
MCTB010-13	Cálculo Vetorial e Tensorial	Funções de Várias Variáveis
ESZC025-17	Capitalismo Contemporâneo	Pensamento Econômico; História Econômica Geral; Economia Política
ESZR024-21	Capitalismo, Imperialismo e Dependência	Não há
ESZB024-17	Caracterização Biológica de Dispositivos Médicos	Biossegurança; Ciência dos Materiais Biocompatíveis
ESZB002-17	Caracterização de Biomateriais	Ciência dos Materiais Biocompatíveis
ESTM014-17	Caracterização de Materiais	Propriedades Mecânicas e Térmicas; Propriedades Elétricas, Magnéticas e Ópticas
ESTU026-17	Caracterização de Matrizes Ambientais	Não há
ESTU004-17	Cartografia e Geoprocessamento	Não há
ESHT002-17	Cartografia e Geoprocessamento para o Planejamento Territorial	Não há
LHZ0006-19	Cartografia Escolar E Inclusiva	Não há
ESZE019-17	Centrais Termoelétricas	Termodinâmica Aplicada I; Termodinâmica Aplicada II; Sistemas Térmicos
ESZM022-17	Cerâmicas Especiais e Refratárias	Materiais Cerâmicos
NHZ2002-11	Ceticismo	Não há
ESHR019-21	China nas Relações Internacionais	Relações Internacionais e Globalização
ESHP004-13	Cidadania, Direitos e Desigualdades	Não há
ESTM004-17	Ciência dos Materiais	Materiais e suas Propriedades
ESTB005-17	Ciência dos Materiais Biocompatíveis	Materiais e suas Propriedades
NHZ2122-18	Ciência e Culturas Antigas	Não há
ESZP012-13	Ciência, Saúde, Educação e a Formação da Nacionalidade	Não há
BIR0603-15	Ciência, Tecnologia e Sociedade	Não há
ESZU022-17	Ciências Atmosféricas	Não há
ESZS030-17	Cinemática e Dinâmica de Mecanismos	Dinâmica I
NHBQ001-22	Cinética Química	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Funções de uma variável; Princípios de Termodinâmica.
MCTA006-17	Circuitos Digitais	Natureza da Informação; Fenômenos Eletromagnéticos
ESTO001-17	Circuitos Elétricos e Fotônica	Fenômenos Eletromagnéticos
ESTA002-17	Circuitos Elétricos I	Fenômenos Eletromagnéticos
ESTA004-17	Circuitos Elétricos II	Circuitos Elétricos I
ESZA008-17	Circuitos Hidráulicos e Pneumáticos	Mecânica dos Fluidos I
NHZ1015-15	Citogenética Básica	Genética I
ESZG017-17	Clima e Cultura Organizacional	Organização do Trabalho
ESZU024-17	Clima Urbano	Climatologia ou Ciências Atmosféricas
ESTU005-17	Climatologia	Não há
ESZP062-22	Clínica de Direitos Humanos e Políticas Públicas	Direito Constitucional; Direito Administrativo; Avaliação e Monitoramento de Políticas Públicas.
ESTI019-17	Codificação de Sinais Multimídia	Programação Estruturada; Processamento Digital de Sinais
ESZE086-17	Cogeração	Sistemas Térmicos
LHZ0007-19	Colonialismo Ibérico	Não há
MCZA037-17	Combinatória Extremal	Matemática Discreta
ESTS015-17	Combustão I	Termodinâmica Aplicada I
ESZS034-17	Combustão II	Combustão I
MCCC006-23	Compiladores e Interpretadores	Linguagens Formais e Autômatos; Matemática Discreta II; Matemática Discreta I; Funções de Uma Variável; Análise de Algoritmos II; Análise de Algoritmos I; Algoritmos em Grafos; Algoritmos e Estruturas de Dados II; Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
ESZU002-17	Compostagem	Microbiologia Ambiental; Resíduos Sólidos
NHZ2114-18	Computabilidade e Complexidade	Lógica básica
ESTB018-17	Computação Científica Aplicada a Problemas Biológicos	Processamento da Informação; Cálculo Numérico; Natureza da Informação; Introdução à Probabilidade e à Estatística
MCZA006-17	Computação Evolutiva e Conexionista	Inteligência Artificial
MCCC007-23	Computação Gráfica	Algoritmos e Estrutura de Dados I; Programação Estruturada; Processamento da Informação; Programação Orientada a Objetos; Geometria Analítica
MCTA009-13	Computadores, Ética e Sociedade	Não há
MCTC007-20	Comunicação Científica	Bases Epistemológicas da Ciência Moderna
ESTI007-17	Comunicação Digital	Princípios de Comunicação; Sinais Aleatórios
BCM0506-15	Comunicação e Redes	Processamento da Informação
ESTI015-17	Comunicações Móveis	Comunicação Digital; Ondas Eletromagnéticas Aplicadas
ESTI010-17	Comunicações Ópticas	Fundamentos de Fotônica
ESZG036-17	Conceitos de Marketing	Desenvolvimento Integrado do Produto
NHZ4075-20	Conceitos e Modelos da Química Moderna	Transformações Químicas; Estrutura da Matéria
ESZA007-17	Confiabilidade de Componentes e Sistemas	Introdução à Probabilidade e à Estatística
ESZG002-17	Confiabilidade Industrial em Sistemas de Gestão	Estatística Aplicada a Sistemas de Gestão
ESZR001-13	Conflitos no Ciberespaço: ativismo e guerra nas redes cibernéticas	Não há
ESHP005-13	Conflitos Sociais	Cidadania, Direitos e Desigualdades
ESZR025-21	Conflitos, Paz e Negociação Internacional (prática)	Não há
NHZ3001-15	Conhecimento e Técnica: Perspectivas da Antiguidade e Período Medieval	Não há
NHZ3091-22	Conhecimento Físico e Linguagens	Não há
ESZC002-17	Conhecimento na Economia: Abordagens e Interfaces com as Atividades de CT&I	Introdução à Economia
NHZ1016-15	Conservação da Biodiversidade	Biodiversidade: Interações entre organismos e ambiente; Práticas de Ecologia
NHZ3088-15	Consolidação de Conceitos e Métodos de Fenômenos Eletromagnéticos	Concomitantemente com Fenômenos Eletromagnéticos
NHZ3086-15	Consolidação de Conceitos e Métodos de Fenômenos Mecânicos	Concomitantemente com Fenômenos Mecânicos
NHZ3087-15	Consolidação de Conceitos e Métodos de Fenômenos Térmicos	Concomitantemente com Fenômenos Térmicos
NHZ3089-15	Consolidação de Conceitos e Métodos de Interações Atômicas e Moleculares	Concomitantemente com Interações Atômicas e Moleculares
MCTD020-18	Construções Geométricas e Geometria Métrica	Geometria Plana Axiomática
ESHC002-17	Contabilidade Básica	Bases Matemáticas
ESZG023-17	Contabilidade para Engenharia	Economia de Empresas
ESZU003-17	Contaminação e Remediação de Solos	Geotecnia; Microbiologia Ambiental
ESZP048-22	Contradições e Dilemas do Setor Agrário Latino-Americano	Cidadania, Direitos e Desigualdades; Conflitos Sociais
ESZA021-17	Controle Avançado de Robôs	Fundamentos de Robótica
ESZA003-17	Controle Não-Linear	Sistemas de Controle I
ESZA002-17	Controle Robusto Multivariável	Sistemas de Controle II
NHZ2093-16	Corpo, sexualidade e questões de gênero	Corpo, sexualidade e questões de gênero
NHZ3082-15	Cristalografia e Difração De Raios X	Mecânica Quântica I; Estado Sólido
ESHP022-14	Cultura Política	Não há
ESZR002-13	Cultura, identidade e política na América Latina	Não há
ESTG001-17	Custos	Engenharia Econômica
ESHT003-17	Demografia	Não há
ESTS004-17	Desempenho de Aeronaves	Fenômenos Mecânicos; Aeronáutica I-A; Funções de Uma Variável
NHBQ018-22	Desenho e Projeto em Química	É recomendado que o aluno tenha sido aprovado na disciplina de Fundamentos de Desenho e Projeto.
NHI5001-15	Desenvolvimento e Aprendizagem	Não há
MCZC004-15	Desenvolvimento e Degeneração do Sistema Nervoso	Introdução à Neurociência ou Morfofisiologia Humana I; Neuroanatomia; Neurobiologia molecular e celular
BHO0102-15	Desenvolvimento e Sustentabilidade	Não há
ESHT025-17	Desenvolvimento Econômico e Social No Brasil	Não há
MCZA053-22	Desenvolvimento Guiado por Tipos	Processamento da Informação; Paradigmas de Programação; Programação Estruturada
ESZT002-17	Desenvolvimento Humano e Pobreza Urbana	Não há
ESTG002-17	Desenvolvimento Integrado do Produto	Sistemas CAD/CAE
ESHC003-17	Desenvolvimento Socioeconômico	Introdução à Economia; Pensamento Econômico; Macroeconomia I; Macroeconomia II; Macroeconomia Pós-Keynesiana; Macroeconomia III
ESZM034-17	Design de Dispositivos	Propriedades Elétricas, Magnéticas e Ópticas
ESHC030-17	Desigualdades de Raça, Gênero e Renda	Interpretações do Brasil; Estudos Étnico-Raciais; História Econômica Geral; Formação Econômica do Brasil; Economia Brasileira Contemporânea I; Economia Brasileira Contemporânea II; Economia Brasileira Contemporânea III; Desenvolvimento Socioeconômico
ESZR026-21	Deslocamento Forçado, Refúgio e humanitarismo	Não há
ESZM009-17	Diagramas de Fase	Termodinâmica de Materiais; Termodinâmica Estatística de Materiais; Ciência dos Materiais
BHS0003-23	Diálogos Extensionistas em Economia	Não há
BHS0002-17	Diálogos Interdisciplinares	Introdução às Humanidades e às Ciências Sociais
ESZR027-21	Diásporas africanas e as Relações Internacionais	Formação do Sistema Internacional
NHI5002-15	Didática	Não há
MCZD001-18	Didática da Matemática	Não há
ESZS035-17	Dinâmica de Fluidos Computacional	Dinâmica de Gases
ESTS019-17	Dinâmica de Gases	Mecânica dos Fluidos I
ESZR005-13	Dinâmica dos Investimentos Produtivos Internacionais	Globalização e os processos de integração regional
ESTS005-17	Dinâmica e Controle de Veículos Espaciais	Dinâmica I; Sistemas de Controle I
ESTS001-17	Dinâmica I	Fenômenos Mecânicos; Geometria Analítica; Cálculo Numérico; Introdução às Equações Diferenciais Ordinárias
ESZS006-17	Dinâmica II	Dinâmica I
ESZM008-17	Dinâmica Molecular e Monte Carlo	Tópicos Computacionais em Materiais
NHZ3002-15	Dinâmica Não Linear e Caos	Mecânica Clássica II; Álgebra Linear
ESZS029-17	Dinâmica Orbital	Dinâmica I
ESZP013-13	Dinâmicas Socioespaciais do ABC Paulista	Não há
ESZT017-17	Dinâmicas Territoriais e Relações Étnico-Raciais No Brasil	Não há
ESHP012-22	Direito Administrativo	Não há
ESHP013-22	Direito Constitucional	Introdução ao Direito Constitucional
ESZR028-21	Direito Internacional Privado	Introdução ao Direito; Fundamentos do Direito Internacional
ESZP049-22	Direitos Humanos, Punição e Políticas Públicas	Cidadania, Direitos e Desigualdades; Conflitos Sociais.
NHZ2116-18	Discussões Atuais em Filosofia da Ciência	Filosofia da ciência; Lógica básica
ESTA001-17	Dispositivos Eletrônicos	Circuitos Elétricos I
ESZP014-13	Diversidade Cultural, Conhecimento Local e Políticas Públicas	Não há
BHS0002-22	Diversidade de gênero e formação de professor	Não há
LHZ0008-19	Diversidades e Cultura no Mundo Ocidental	Não há
NHBT004-23	Divulgação Científica em Biotecnologia	Não há
MCZC001-20	Doenças do Sistema Nervoso	Introdução à Neurociência ou Morfofisiologia Humana I, Neuroanatomia
NHT1072-15	Ecologia Comportamental	Biodiversidade: Interações entre organismos e ambiente
ESZU034-17	Ecologia do Ambiente Urbano	Biodiversidade: Interações entre Organismos e Ambiente
NHT1073-15	Ecologia Vegetal	Práticas de Ecologia
ESHC035-21	Econometria I	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística
ESHC036-21	Econometria II	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I
ESHC037-21	Econometria III	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I; Econometria II
ESHC033-21	Economia Brasileira Contemporânea	Formação Econômica do Brasil; Economia Brasileira I; Economia Brasileira II
ESHC007-21	Economia Brasileira I	Formação Econômica do Brasil
ESHC008-21	Economia Brasileira II	Formação Econômica do Brasil; Economia Brasileira I
ESZC034-21	Economia Comportamental	Microeconomia III
ESTE036-17	Economia da Energia	Bases Conceituais da Energia
ESZP015-13	Economia da Inovação Tecnológica	Não há
ESTG003-17	Economia de Empresas	Custos
ESZC035-21	Economia Dinâmica em Tempo Contínuo	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática
ESZC036-21	Economia Dinâmica em Tempo Discreto	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática
ESHC034-21	Economia do Meio Ambiente	Desenvolvimento e Sustentabilidade; Microeconomia I; Microeconomia II; Microeconomia III; Economia Matemática; Econometria I; Econometria II
ESZE057-17	Economia do Petróleo e do Gás Natural	Análise Econômica de Projetos Energéticos
ESZC003-17	Economia do Setor Público	Introdução à Economia; Macroeconomia I; Macroeconomia II; Macroeconomia Pós-Keynesiana; Microeconomia I; Microeconomia II; Microeconomia III
ESHT005-17	Economia do Território	Não há
ESZC004-17	Economia do Trabalho	Introdução à Economia; Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Microeconomia I; Microeconomia II
ESZC020-17	Economia Industrial	Introdução à Economia; Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Microeconomia I; Microeconomia II
ESHC012-21	Economia Institucional	Pensamento Econômico
ESHC027-21	Economia Matemática	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis
ESHC028-17	Economia Política	Estrutura e Dinâmica Social; Pensamento Econômico
